std_inchi_key,receptor_name,Standard_Value,pChEMBL_Value
AABLNHSZFIPOBJ-UHFFFAOYSA-N,GR,31.0,7.51
AACVSEPXXNRBIR-UHFFFAOYSA-N,PR,16.4,7.79
AADGIVANXMJZCW-HFPMIOGFSA-N,MR,7025.0,6.074999999999999
AAFYPWXCJRYVKV-ILTCGSTDSA-N,GR,0.89,9.05
AAJNWJFLYOFHIB-UHFFFAOYSA-N,GR,17.0,7.77
AAJNWJFLYOFHIB-UHFFFAOYSA-N,MR,320.0,6.5
AAJNWJFLYOFHIB-UHFFFAOYSA-N,PR,140.0,6.85
AAPVCQWLJSSUGW-UHFFFAOYSA-N,AR,19000.0,4.72
AAQPJNXQFGYYCM-UHFFFAOYSA-N,ERa,38620.53,4.41
AAUFIERBXVEOEY-UHFFFAOYSA-N,ERb,3133.78,5.5
AAYYOXKEPZBTIZ-UHFFFAOYSA-N,AR,43.0,7.37
AAZLXHMTANMOOL-UHFFFAOYSA-N,PR,100.0,7.0
ABBOJTGMRPEPDS-UHFFFAOYSA-N,MR,10.25,8.02
ABDAGDDZOUDCKI-IBGZPJMESA-N,GR,7.0,8.175
ABDAGDDZOUDCKI-IBGZPJMESA-N,MR,260.0,6.58
ABDAGDDZOUDCKI-UHFFFAOYSA-N,GR,11.5,7.975
ABDAGDDZOUDCKI-UHFFFAOYSA-N,MR,615.0,6.21
ABFWCZZPERJPEX-UHFFFAOYSA-N,GR,100.0,7.0
ABIIDXAYHQFYHP-DRVGFPQISA-N,ERa,500.0,6.3
ABQVAYHSMQNMOL-UHFFFAOYSA-N,AR,250.595,6.6
ABWCAVMWLBXQQF-UHFFFAOYSA-N,ERa,15.0,7.82
ABZCTYYLPFMFRK-UHFFFAOYSA-N,AR,82.0,7.09
ACGUYXCXAPNIKK-UHFFFAOYSA-N,ERa,2161.56,5.67
ACGUYXCXAPNIKK-UHFFFAOYSA-N,ERb,98.27,7.01
ACLQWAFSCNOYRE-UHFFFAOYSA-N,ERa,1210.0,5.92
ACLQWAFSCNOYRE-UHFFFAOYSA-N,ERb,24.0,7.62
ACOUBLWHMLGKBC-SHWJBVLOSA-N,GR,280.0,6.55
ACSBHYLTZNDEKW-VWLOTQADSA-N,GR,74.8,7.13
ACSBHYLTZNDEKW-VWLOTQADSA-N,PR,5043.0,5.3
ACXANRVNFDEJLV-UHFFFAOYSA-N,AR,2046.0,5.69
ACXANRVNFDEJLV-UHFFFAOYSA-N,GR,813.0,6.09
ACXANRVNFDEJLV-UHFFFAOYSA-N,PR,0.95,9.02
ACXWUSNNWQQMLC-UHFFFAOYSA-N,GR,16.5,7.835000000000001
ACXWUSNNWQQMLC-UHFFFAOYSA-N,MR,1550.0,5.81
ACYXDSBSDZXJHI-GXTWGEPZSA-N,AR,2.65,8.655000000000001
ACYYHAZVNHMRMQ-XKZIYDEJSA-N,AR,910.0,6.04
ACYYHAZVNHMRMQ-XKZIYDEJSA-N,GR,2.4,8.62
ACYYHAZVNHMRMQ-XKZIYDEJSA-N,MR,149.0,6.83
ACYYHAZVNHMRMQ-XKZIYDEJSA-N,PR,866.0,6.06
ADBWQEWMJROLFZ-RQKRDWBDSA-N,GR,0.04,10.4
ADFOLUXMYYCTRR-ZIAGYGMSSA-N,GR,35000.0,4.46
ADHVTOAGYGEFSM-IBGZPJMESA-N,GR,8.5,8.145
ADHVTOAGYGEFSM-IBGZPJMESA-N,MR,475.0,6.32
ADHVTOAGYGEFSM-UHFFFAOYSA-N,GR,13.5,7.91
ADHVTOAGYGEFSM-UHFFFAOYSA-N,MR,855.0,6.07
ADMBNUUNWJWIBB-UHFFFAOYSA-N,ERa,2.7,8.57
ADPDINVHVCYFSE-UHFFFAOYSA-N,AR,1.4,8.85
ADQOWDFBOBYPCM-UHFFFAOYSA-N,GR,750.0,6.12
ADTLCXAJDYLQPZ-UHFFFAOYSA-N,ERa,1500.0,5.82
ADTLCXAJDYLQPZ-UHFFFAOYSA-N,ERb,510.0,6.29
AECUUHUGTSTYSJ-PRHODGIISA-N,AR,5.0,8.3
AEDVPHAKDUNUHG-UHFFFAOYSA-N,ERb,12456.58,4.91
AEEVMTOUTDXBNY-VUKAXSINSA-N,GR,2.5,8.6
AEFSDUJIAWDLCW-UHFFFAOYSA-N,ERa,151.0,6.82
AEGBPFWONFOCDE-IBGZPJMESA-N,PR,20.0,7.7
AEIHSRWGAGVPGH-XKZIYDEJSA-N,PR,5.5,8.26
AEJMHTYAQKKYTD-UHFFFAOYSA-N,ERb,1688.84,5.77
AEJZSDBLETUXJM-QYPWACJRSA-N,GR,47.949999999999996,7.615
AELUCPYKHGUANU-ACSYHNTCSA-N,MR,3000.0,5.52
AETJFEZDSLASSU-UHFFFAOYSA-N,ERa,39.0,7.41
AETJFEZDSLASSU-UHFFFAOYSA-N,ERb,2049.0,5.69
AETQCZVPWXCWNA-UHFFFAOYSA-N,AR,251.0,6.6
AEXKCVYSHOYUNV-UHFFFAOYSA-N,ERa,200.0,6.7
AEXKCVYSHOYUNV-UHFFFAOYSA-N,ERb,55.0,7.26
AEYUJQIHDRFOMU-UHFFFAOYSA-N,GR,41.42,7.595000000000001
AEZPAUSGTAHLOQ-UHFFFAOYSA-N,ERa,2222.0,5.65
AEZPAUSGTAHLOQ-UHFFFAOYSA-N,ERb,139.0,6.86
AFAFFWWKUXALNJ-NRFANRHFSA-N,GR,16.5,7.78
AFAFFWWKUXALNJ-NRFANRHFSA-N,PR,1362.0,5.87
AFAUDWQMESQGPR-UHFFFAOYSA-N,ERa,3.8,8.42
